blueTeamTotalGold,redTeamTotalGold,blueWin
27992,29187,1
25706,33440,0
24531,30799,0
30128,26635,1
27737,25735,0
23111,32601,0
24084,31395,0
31818,24542,1
28547,25219,1
29812,26714,1
26757,29211,0
30931,27319,1
31017,27910,1
27564,29088,1
28063,26829,1
30611,24086,1
29722,32393,0
27997,31242,0
31079,20822,1
23316,35481,0
33669,31063,1
27228,25466,1
24723,33404,0
23421,32169,0
29900,27002,1
30375,24585,1
25344,27710,1
32274,26316,0
24882,30032,0
31549,24876,1
28014,31242,0
28282,31495,0
32060,27142,1
30796,25897,1
25087,27822,0
28116,28425,1
24904,28700,1
28340,28396,1
31786,27495,1
25975,28090,0
32026,31347,1
30447,31189,1
27426,23470,1
25191,28526,0
31066,25197,1
29825,22903,1
28480,27198,0
26287,27940,1
26107,27601,0
29522,28706,0
25673,29466,0
24667,29403,0
23561,29604,0
27380,29387,1
29624,23500,1
24986,27005,1
28168,27826,1
29737,24439,1
30480,25491,0
29579,29768,1
28044,27048,0
33204,27475,1
23991,30355,0
27207,27180,1
29174,27799,0
24577,27988,0
29041,26174,1
27370,22922,0
29466,28675,0
27141,30016,0
26031,29492,0
30152,28644,1
25580,30360,0
27651,25106,0
28283,29908,1
26973,28360,0
26516,28386,0
30766,25471,0
28238,26645,0
30266,29871,0
30913,27073,1
29111,26434,0
25207,29179,0
27705,30882,1
25385,28675,0
25491,26157,1
28800,26895,1
27480,26032,0
31973,26884,1
26394,30752,0
22722,31662,0
30316,26753,0
24033,28555,0
26958,26479,0
29220,30469,0
26182,24582,1
25566,26940,0
34284,22043,1
31563,26365,1
23368,26308,0
23273,29618,0
32699,22795,1
28823,33524,0
25947,28542,0
26852,26306,1
30440,24952,1
24983,26284,0
24732,26964,0
29101,30835,0
27061,28288,0
29927,26256,1
24833,30097,0
28255,26938,0
28407,24144,1
28029,27749,0
28473,25994,1
28113,30768,0
31805,25875,0
29808,28852,1
27521,30573,0
28707,28060,1
32150,27438,1
29921,23603,1
31610,26721,1
28036,29615,1
27468,28644,1
25489,29551,0
31839,27486,1
22092,35399,0
27121,27034,1
27028,27044,0
24638,25009,0
25610,29658,0
27386,25158,0
27983,27477,0
25340,26785,1
29290,23638,1
26225,28297,0
26059,25859,0
26186,26891,1
23125,28081,0
28167,21145,1
23907,26178,0
27800,27995,1
25446,30747,0
24339,25010,0
28951,24891,1
27972,26115,1
29459,26708,0
26288,25630,1
27502,26114,1
28105,25433,0
28281,30504,0
